OBJECTID,FIPS,COUNTY,STATE,POP2020,SQMI,Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2021 Education,2021 Avg: Education,2021 Index: Education,2021 Health Care,2021 Index: Health Care,2021 Avg: Health Care,2021 HH Operations,2021 Avg: HH Operations,2021 Index: HH Operations,2021 Total Crime Aggregate,2021 Personal Crime Aggregate,2021 Murder Aggregate,2021 Rape Aggregate,2021 Robbery Aggregate,2021 Assault Aggregate,2021 Property Crime Aggregate,2021 Burglary Aggregate,2021 Larceny Aggregate,2021 Motor Vehicle Theft Aggregate,2021 Total Crime Index,2021 Personal Crime Index,2021 Murder Index,2021 Rape Index,2021 Robbery Index,2021 Assault Index,2021 Property Crime Index,2021 Burglary Index,2021 Larceny Index,2021 Motor Vehicle Theft Index,Invalid1,Invalid2
204,06073009703,San Diego County,CA,3444,0.64000000,3,US,204,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,3303180.00000000,2466.90000000,143.00000000,9775569.00000000,117.00000000,7300.65000000,3649370.00000000,2725.44000000,123.00000000,112530.00000000,116588.00000000,92092.00000000,170407.00000000,129531.00000000,100939.00000000,110757.00000000,167234.00000000,78942.00000000,249289.00000000,33.00000000,34.00000000,27.00000000,50.00000000,38.00000000,30.00000000,33.00000000,49.00000000,23.00000000,74.00000000,,
205,06073009704,San Diego County,CA,5919,1.21000000,4,US,205,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,7484519.00000000,3058.65000000,177.00000000,25565088.00000000,168.00000000,10447.52000000,9162664.00000000,3744.45000000,169.00000000,89607.00000000,129614.00000000,23276.00000000,861394.00000000,23276.00000000,51767.00000000,83201.00000000,114675.00000000,83327.00000000,30401.00000000,15.00000000,22.00000000,4.00000000,148.00000000,4.00000000,9.00000000,14.00000000,20.00000000,14.00000000,5.00000000,,
206,06073009705,San Diego County,CA,3972,0.93000000,5,US,206,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,4809405.00000000,3096.85000000,179.00000000,17184728.00000000,177.00000000,11065.50000000,6129933.00000000,3947.16000000,179.00000000,147685.00000000,139012.00000000,78884.00000000,370900.00000000,63817.00000000,132717.00000000,150156.00000000,197427.00000000,125354.00000000,246299.00000000,37.00000000,35.00000000,20.00000000,94.00000000,16.00000000,34.00000000,38.00000000,50.00000000,32.00000000,62.00000000,,
207,06073009706,San Diego County,CA,7196,2.48000000,6,US,207,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,10133039.00000000,3524.54000000,204.00000000,33907151.00000000,189.00000000,11793.79000000,12269346.00000000,4267.60000000,193.00000000,323522.00000000,280182.00000000,57101.00000000,1070635.00000000,56050.00000000,244775.00000000,331945.00000000,275783.00000000,360201.00000000,200287.00000000,46.00000000,39.00000000,8.00000000,151.00000000,8.00000000,34.00000000,47.00000000,39.00000000,51.00000000,28.00000000,,
208,06073009801,San Diego County,CA,5146,0.81000000,7,US,208,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,5687687.00000000,2511.12000000,145.00000000,20233176.00000000,143.00000000,8932.97000000,7042669.00000000,3109.35000000,141.00000000,130719.00000000,93365.00000000,21755.00000000,319262.00000000,38879.00000000,79262.00000000,137344.00000000,155805.00000000,137830.00000000,105473.00000000,26.00000000,18.00000000,4.00000000,63.00000000,8.00000000,16.00000000,27.00000000,31.00000000,27.00000000,21.00000000,,
209,06073009802,San Diego County,CA,6178,0.77000000,8,US,209,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,4700714.00000000,1910.08000000,111.00000000,14069965.00000000,92.00000000,5717.17000000,5249328.00000000,2133.01000000,96.00000000,312245.00000000,321317.00000000,52552.00000000,933102.00000000,131704.00000000,301124.00000000,311304.00000000,324856.00000000,282284.00000000,504904.00000000,51.00000000,53.00000000,9.00000000,153.00000000,22.00000000,49.00000000,51.00000000,53.00000000,46.00000000,83.00000000,,
210,06073009804,San Diego County,CA,4764,0.73000000,9,US,210,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,4847129.00000000,2720.05000000,158.00000000,13549002.00000000,122.00000000,7603.26000000,5212214.00000000,2924.92000000,132.00000000,98795.00000000,100003.00000000,26356.00000000,461144.00000000,28542.00000000,68666.00000000,98905.00000000,188689.00000000,72937.00000000,118793.00000000,21.00000000,21.00000000,6.00000000,98.00000000,6.00000000,15.00000000,21.00000000,40.00000000,16.00000000,25.00000000,,
211,06073009805,San Diego County,CA,4714,2.89000000,10,US,211,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,5084788.00000000,2604.91000000,151.00000000,16985831.00000000,140.00000000,8701.76000000,6094126.00000000,3121.99000000,141.00000000,76168.00000000,92690.00000000,25944.00000000,332395.00000000,25707.00000000,81419.00000000,74182.00000000,156557.00000000,50751.00000000,90813.00000000,16.00000000,20.00000000,6.00000000,72.00000000,6.00000000,18.00000000,16.00000000,34.00000000,11.00000000,20.00000000,,
212,06073009901,San Diego County,CA,662,2.17000000,11,US,212,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11118.00000000,6540.00000000,8502.00000000,17658.00000000,5886.00000000,5232.00000000,11772.00000000,10464.00000000,11118.00000000,18312.00000000,17.00000000,10.00000000,13.00000000,27.00000000,9.00000000,8.00000000,18.00000000,16.00000000,17.00000000,28.00000000,,
213,06073009902,San Diego County,CA,2,0.03000000,12,US,213,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,112.00000000,324.00000000,50.00000000,1094.00000000,124.00000000,282.00000000,78.00000000,14.00000000,90.00000000,104.00000000,56.00000000,162.00000000,25.00000000,547.00000000,62.00000000,141.00000000,39.00000000,7.00000000,45.00000000,52.00000000,,
214,06073010001,San Diego County,CA,4274,0.81000000,13,US,214,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,2031889.00000000,1820.69000000,105.00000000,6215030.00000000,89.00000000,5569.02000000,2603418.00000000,2332.81000000,106.00000000,592745.00000000,905320.00000000,550205.00000000,1072578.00000000,531672.00000000,1031247.00000000,541829.00000000,383233.00000000,502389.00000000,1157679.00000000,140.00000000,213.00000000,130.00000000,253.00000000,125.00000000,243.00000000,128.00000000,90.00000000,118.00000000,273.00000000,,
215,06073010003,San Diego County,CA,5929,0.49000000,14,US,215,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,2578771.00000000,1795.80000000,104.00000000,7506007.00000000,84.00000000,5227.02000000,3090720.00000000,2152.31000000,97.00000000,672722.00000000,1364026.00000000,789817.00000000,2473288.00000000,291140.00000000,1620520.00000000,562082.00000000,545485.00000000,491310.00000000,1118937.00000000,115.00000000,232.00000000,134.00000000,421.00000000,50.00000000,276.00000000,96.00000000,93.00000000,84.00000000,190.00000000,,
216,06073010004,San Diego County,CA,4783,0.54000000,15,US,216,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,1676542.00000000,1500.93000000,87.00000000,5128117.00000000,74.00000000,4590.97000000,2148120.00000000,1923.12000000,87.00000000,711510.00000000,1305360.00000000,863950.00000000,1558810.00000000,624560.00000000,1541050.00000000,615680.00000000,576090.00000000,526510.00000000,1378620.00000000,148.00000000,271.00000000,180.00000000,324.00000000,130.00000000,320.00000000,128.00000000,120.00000000,109.00000000,287.00000000,,
217,06073010005,San Diego County,CA,7829,0.58000000,16,US,217,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,2011418.00000000,985.02000000,57.00000000,7671880.00000000,60.00000000,3757.04000000,2830202.00000000,1386.00000000,63.00000000,1569585.00000000,2774205.00000000,2086393.00000000,2322275.00000000,2468504.00000000,2984342.00000000,1371867.00000000,1100526.00000000,1163603.00000000,3485719.00000000,205.00000000,362.00000000,272.00000000,303.00000000,322.00000000,389.00000000,179.00000000,144.00000000,152.00000000,455.00000000,,
218,06073010009,San Diego County,CA,7160,1.56000000,17,US,218,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,2333913.00000000,1335.19000000,77.00000000,7403035.00000000,68.00000000,4235.15000000,2932185.00000000,1677.45000000,76.00000000,869306.00000000,1122040.00000000,877540.00000000,381573.00000000,1573798.00000000,1072684.00000000,826946.00000000,674573.00000000,625401.00000000,2666669.00000000,119.00000000,154.00000000,120.00000000,52.00000000,216.00000000,147.00000000,113.00000000,93.00000000,86.00000000,366.00000000,,
